airline,gender,age_group,booking_count,passenger_count,total_revenue,avg_revenue
AIR INDIA,F,18-30,26,16,151990.5,8443.92
AIR INDIA,F,31-45,14,11,59929.78,7491.22
AIR INDIA,F,46-60,41,22,271664.87,8763.38
AIR INDIA,F,60+,45,30,215254.38,6943.69
AIR INDIA,F,Under 18,38,22,279450.01,9014.52
AIR INDIA,M,18-30,17,13,72244.68,6567.7
AIR INDIA,M,31-45,29,22,118738.87,7421.18
AIR INDIA,M,46-60,42,20,222569.31,6744.52
AIR INDIA,M,60+,39,28,219306.86,7562.31
AIR INDIA,M,Under 18,28,22,137996.9,8117.46
Air India,F,31-45,1,1,0.0,
Air India,F,60+,5,3,14062.55,7031.28
Air India,M,18-30,1,1,0.0,
Air India,M,31-45,3,2,18011.76,9005.88
Air India,M,46-60,1,1,0.0,
Air India,M,60+,1,1,11891.78,11891.78
INDIGO,F,18-30,16,13,65319.02,8164.88
INDIGO,F,31-45,26,15,124226.96,7307.47
INDIGO,F,46-60,21,14,128116.92,8541.13
INDIGO,F,60+,41,31,220437.17,7872.76
INDIGO,F,Under 18,25,20,108372.22,9031.02
INDIGO,M,18-30,37,24,164772.91,7489.68
INDIGO,M,31-45,20,15,101236.16,7787.4
INDIGO,M,46-60,29,20,115916.56,6818.62
INDIGO,M,60+,46,32,209440.9,8055.42
INDIGO,M,Under 18,47,32,258478.02,8077.44
IndiGo,F,60+,2,1,4971.8,2485.9
IndiGo,F,Under 18,3,2,16403.3,8201.65
IndiGo,M,31-45,2,1,0.0,
IndiGo,M,46-60,3,2,25162.19,8387.4
IndiGo,M,60+,2,2,0.0,
IndiGo,M,Under 18,3,3,8709.8,4354.9
SPICEJET,F,18-30,18,12,92840.53,8440.05
SPICEJET,F,31-45,16,14,80489.25,10061.16
SPICEJET,F,46-60,29,18,163817.72,7800.84
SPICEJET,F,60+,57,36,279322.42,6812.74
SPICEJET,F,Under 18,39,18,246163.42,7692.61
SPICEJET,M,18-30,39,23,258830.12,8088.44
SPICEJET,M,31-45,35,23,167230.1,7601.37
SPICEJET,M,46-60,29,19,197631.78,9881.59
SPICEJET,M,60+,40,27,266460.96,8074.57
SPICEJET,M,Under 18,33,21,181817.76,7272.71
SpiceJet,F,60+,5,2,41153.63,10288.41
SpiceJet,M,18-30,1,1,12326.46,12326.46
SpiceJet,M,60+,2,2,0.0,
SpiceJet,M,Under 18,1,1,0.0,
VISTARA,F,18-30,18,14,124294.64,9561.13
VISTARA,F,31-45,21,14,145285.86,8546.23
VISTARA,F,46-60,31,18,234496.9,8685.07
VISTARA,F,60+,68,37,480013.37,8571.67
VISTARA,F,Under 18,39,23,273381.2,8543.16
VISTARA,M,18-30,26,18,203759.43,9261.79
VISTARA,M,31-45,30,19,159182.87,7235.58
VISTARA,M,46-60,24,16,169257.03,8462.85
VISTARA,M,60+,33,25,174205.65,7574.16
VISTARA,M,Under 18,22,18,125813.64,8986.69
Vistara,F,31-45,1,1,12222.48,12222.48
Vistara,F,Under 18,1,1,6625.76,6625.76
Vistara,M,46-60,1,1,2916.86,2916.86
Vistara,M,Under 18,1,1,0.0,
