route,avg_duration_mins
BLR to BOM,149.60344827586206
BLR to CCU,128.52380952380952
BLR to DEL,164.88235294117646
BLR to HYD,154.94444444444446
BLR to MAA,185.33333333333334
BOM to BLR,172.75
BOM to CCU,169.97701149425288
BOM to DEL,156.0
BOM to HYD,180.84615384615384
BOM to MAA,183.40740740740742
CCU to BLR,171.61111111111111
CCU to BOM,163.96969696969697
CCU to DEL,151.59420289855072
CCU to HYD,152.23809523809524
CCU to MAA,173.86363636363637
DEL to BLR,170.0344827586207
DEL to BOM,173.3846153846154
DEL to CCU,146.70833333333334
DEL to HYD,175.3877551020408
DEL to MAA,182.86363636363637
HYD to BLR,162.76923076923077
HYD to BOM,149.92307692307693
HYD to CCU,167.15384615384616
HYD to DEL,183.4390243902439
HYD to MAA,156.1320754716981
MAA to BLR,169.36666666666667
MAA to BOM,176.76190476190476
MAA to CCU,158.54166666666666
MAA to DEL,155.96153846153845
MAA to HYD,160.0
