passenger_id,first_name,last_name,age_group,total_bookings,total_spend
P1870,R***,P***,60+,10,68509.91
P1230,K***,M***,18-30,7,80357.04000000001
P1028,A***,M***,46-60,7,53950.56
P1432,S***,C***,60+,7,49218.14
P1355,I***,I***,31-45,7,37498.76
P1540,K***,K***,18-30,6,58533.71
P1098,R***,C***,60+,6,47086.57
P1187,A***,D***,46-60,6,46161.770000000004
P1296,A***,J***,Under 18,6,42756.979999999996
P1214,R***,M***,46-60,6,39825.020000000004
P1072,K***,B***,18-30,6,39342.91
P1068,S***,B***,46-60,6,29464.8
P1648,A***,A***,Under 18,6,27394.64
P1505,M***,M***,60+,6,26828.989999999998
P1811,M***,B***,Under 18,5,55479.95
P1965,A***,B***,46-60,5,54031.62
P1752,I***,S***,46-60,5,52334.92999999999
P1802,M***,G***,Under 18,5,49998.31
P1331,A***,N***,46-60,5,46505.13
P1497,I***,N***,60+,5,41883.61
