route,flight_count,avg_duration_mins,delay_rate_pct
BOM to CCU,87,169.97701149425288,25.29
CCU to DEL,69,151.59420289855072,33.33
MAA to BLR,60,169.36666666666667,33.33
BLR to BOM,58,149.60344827586206,34.48
HYD to MAA,53,156.1320754716981,33.96
DEL to HYD,49,175.3877551020408,28.57
HYD to DEL,41,183.4390243902439,31.71
BOM to DEL,38,156.0,26.32
CCU to BOM,33,163.96969696969697,33.33
DEL to BLR,29,170.0344827586207,34.48
BOM to MAA,27,183.40740740740742,37.04
BOM to HYD,26,180.84615384615384,30.77
HYD to BOM,26,149.92307692307693,34.62
HYD to BLR,26,162.76923076923077,26.92
MAA to DEL,26,155.96153846153845,30.77
HYD to CCU,26,167.15384615384616,38.46
DEL to BOM,26,173.3846153846154,42.31
DEL to CCU,24,146.70833333333334,29.17
MAA to CCU,24,158.54166666666666,33.33
DEL to MAA,22,182.86363636363637,18.18
CCU to MAA,22,173.86363636363637,31.82
BLR to CCU,21,128.52380952380952,28.57
MAA to BOM,21,176.76190476190476,28.57
CCU to HYD,21,152.23809523809524,38.1
MAA to HYD,21,160.0,28.57
BOM to BLR,20,172.75,25.0
CCU to BLR,18,171.61111111111111,27.78
BLR to HYD,18,154.94444444444446,33.33
BLR to DEL,17,164.88235294117646,29.41
BLR to MAA,15,185.33333333333334,26.67
