flight_id,airline,source,destination,departure_time,arrival_time,duration_mins,is_overnight,duration_hhmm,route,is_delayed,departure_slot
SJ010,SPICEJET,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,1,2h 54m,CCU to MAA,0,Night (21-05)
AI155,AIR INDIA,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0,1,1h 48m,BOM to CCU,0,Night (21-05)
UK094,VISTARA,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,1,1h 45m,BOM to CCU,0,Night (21-05)
AI245,AIR INDIA,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0,1,2h 36m,BOM to CCU,0,Night (21-05)
AI192,AIR INDIA,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0,1,4h 59m,MAA to BOM,1,Night (21-05)
SJ158,SPICEJET,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0,1,2h 19m,DEL to HYD,0,Night (21-05)
6F196,INDIGO,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,1,1h 43m,CCU to MAA,0,Night (21-05)
AI080,AIR INDIA,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0,1,1h 32m,BOM to HYD,0,Night (21-05)
6F025,INDIGO,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,0,0h 55m,BLR to BOM,0,Night (21-05)
6F251,IndiGo,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0,0,0h 41m,DEL to BLR,0,Night (21-05)
AI137,AIR INDIA,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,1,2h 28m,BOM to DEL,0,Night (21-05)
